"","spot_1_1","spot_1_2","spot_1_3","spot_1_4","spot_1_5","spot_1_6","spot_1_7","spot_1_8","spot_1_9","spot_2_1","spot_2_2","spot_2_3","spot_2_4","spot_2_5","spot_2_6","spot_2_7","spot_2_8","spot_2_9","spot_3_1","spot_3_2","spot_3_3","spot_3_4","spot_3_5","spot_3_6","spot_3_7","spot_3_8","spot_3_9","spot_4_1","spot_4_2","spot_4_3","spot_4_4","spot_4_5","spot_4_6","spot_4_7","spot_4_8","spot_4_9","spot_5_1","spot_5_2","spot_5_3","spot_5_4","spot_5_5","spot_5_6","spot_5_7","spot_5_8","spot_5_9","spot_6_1","spot_6_2","spot_6_3","spot_6_4","spot_6_5","spot_6_6","spot_6_7","spot_6_8","spot_6_9","spot_7_1","spot_7_2","spot_7_3","spot_7_4","spot_7_5","spot_7_6","spot_7_7","spot_7_8","spot_7_9","spot_8_1","spot_8_2","spot_8_3","spot_8_4","spot_8_5","spot_8_6","spot_8_7","spot_8_8","spot_8_9","spot_9_1","spot_9_2","spot_9_3","spot_9_4","spot_9_5","spot_9_6","spot_9_7","spot_9_8","spot_9_9","spot_10_3","spot_10_4","spot_10_5","spot_10_6"
"Nebl",0,0,2,0,5,5,0,0,0,0,0,1,0,4,2,3,2,3,0,1,3,3,3,4,3,1,2,0,0,4,1,6,3,0,7,1,5,1,2,8,3,4,3,6,2,0,3,1,0,3,2,5,2,1,3,9,8,6,3,5,2,1,1,2,4,1,3,3,5,4,0,4,2,1,3,3,0,1,5,5,0,0,0,0,2
"Mllt10",0,0,1,2,1,2,1,0,0,3,2,4,0,4,6,2,7,3,1,5,5,0,1,3,2,2,2,5,1,5,5,5,9,1,1,1,1,5,1,4,2,4,6,2,3,2,1,8,1,2,4,7,3,2,0,3,9,8,3,0,3,1,3,3,2,4,3,3,2,2,0,0,4,4,3,4,0,5,2,2,0,1,1,1,2
"Bmi1",0,1,1,4,1,4,3,0,0,0,5,3,4,1,4,5,2,3,1,3,2,4,4,4,2,2,3,3,5,9,5,4,13,2,5,4,0,3,3,6,4,6,2,3,1,0,4,4,0,2,1,8,2,2,2,2,9,5,5,3,7,1,2,1,4,1,2,3,1,3,3,6,4,1,3,1,0,2,2,2,2,0,2,0,2
"Otud1",0,1,3,2,8,6,3,0,1,3,2,9,2,4,4,4,4,3,0,2,11,7,7,4,2,6,3,5,2,13,8,5,12,5,7,0,3,6,1,6,5,7,12,2,4,4,8,5,5,7,3,7,4,5,5,7,14,9,6,3,7,1,2,6,6,6,1,6,1,7,4,4,2,4,5,2,1,2,3,5,3,1,1,0,2
"Thnsl1",0,2,0,2,0,6,0,0,0,0,0,5,0,2,1,1,3,3,2,2,1,4,3,2,4,5,1,4,0,2,5,5,9,1,2,0,1,1,0,4,0,2,5,3,1,0,2,4,4,4,1,10,2,3,2,2,4,3,6,5,2,1,2,2,3,2,1,2,0,0,2,1,0,0,0,4,2,2,4,3,1,0,0,2,2
"Acbd5",2,2,0,3,7,3,3,0,0,0,4,9,2,2,6,9,6,8,6,2,7,2,2,2,3,11,4,5,5,8,6,4,8,5,6,4,3,3,2,5,8,7,6,5,6,1,2,12,4,5,6,4,7,1,4,6,8,8,2,8,5,3,1,3,7,1,3,3,1,5,4,0,1,1,4,4,0,4,6,6,0,1,2,2,6
"Mastl",0,0,1,1,0,4,0,0,2,2,2,5,0,2,6,1,1,1,0,0,0,0,1,4,2,1,0,3,0,3,1,1,4,5,1,0,2,3,0,2,5,4,2,1,1,0,0,1,2,0,1,4,0,0,2,0,5,3,1,2,6,1,0,1,3,3,2,2,2,4,0,0,1,1,1,2,0,4,0,3,0,0,0,1,0
"Yme1l1",0,0,1,2,6,3,2,0,2,2,3,7,4,5,6,4,5,6,1,3,6,2,2,2,1,0,2,1,1,7,5,3,9,3,3,1,5,1,1,7,2,0,4,1,1,0,1,5,2,1,2,6,3,3,3,3,7,2,7,4,10,1,0,1,6,5,3,5,0,4,2,4,3,2,1,4,1,5,1,5,1,1,0,0,2
"Il1rn",0,0,0,0,4,2,0,0,0,0,0,2,2,0,2,5,4,4,0,5,4,3,0,2,0,2,0,6,0,3,1,3,1,0,3,2,0,3,2,1,6,0,0,2,1,1,2,2,2,0,1,2,4,0,2,2,0,4,0,4,3,0,5,2,0,3,1,3,2,2,1,0,0,0,0,3,0,4,0,2,0,0,0,0,0
"Psd4",1,0,0,1,5,1,0,0,0,2,1,3,4,4,3,8,2,4,2,1,5,5,4,2,1,1,1,2,2,6,2,3,4,4,2,1,3,0,2,1,3,6,3,2,2,0,0,5,1,5,4,4,3,2,2,0,6,4,5,1,3,1,3,4,5,3,0,7,0,3,4,0,3,3,0,3,1,1,2,4,0,0,0,0,4
"Pax8",0,2,1,2,4,1,0,0,0,1,1,3,1,6,2,9,6,1,2,1,3,6,4,7,3,6,1,1,3,13,4,2,3,4,6,1,7,6,1,7,8,3,4,3,5,2,3,8,6,2,1,5,7,2,3,4,11,10,6,4,5,0,1,3,5,3,2,6,0,2,4,0,3,3,5,6,1,1,2,5,2,0,3,0,3
"Cacna1b",0,0,1,2,7,6,4,0,0,1,3,15,4,1,14,11,6,3,2,4,5,10,2,4,3,2,6,3,1,7,4,8,2,3,9,1,2,4,4,10,6,3,8,1,5,3,4,6,8,3,8,7,3,2,5,7,10,6,10,7,7,1,4,3,7,3,2,7,3,4,5,2,2,1,2,7,1,5,4,5,1,0,0,0,3
"Arrdc1",0,3,0,2,1,3,1,0,0,0,1,6,3,7,2,4,1,0,3,2,4,1,4,4,3,1,0,1,2,3,0,1,6,5,0,0,3,1,0,6,0,7,3,3,5,2,2,4,3,4,4,9,2,1,0,4,8,6,6,6,4,3,1,1,8,3,1,4,0,6,1,2,6,4,0,6,0,5,2,5,0,0,1,0,1
"Dph7",0,0,0,3,4,2,2,0,0,0,1,3,2,5,0,4,1,1,0,1,2,3,0,5,0,2,2,0,2,3,0,2,8,5,4,0,3,3,2,3,0,2,1,1,2,0,3,6,4,0,0,5,4,2,0,4,3,3,0,3,2,2,2,1,3,3,0,0,0,8,2,0,5,2,0,0,0,3,2,3,2,2,0,0,0
"Pnpla7",0,0,0,1,0,3,0,0,0,0,2,2,3,1,0,9,2,3,2,8,2,0,0,0,1,2,2,4,0,4,6,4,2,5,5,0,1,0,2,3,2,2,3,4,0,2,0,4,4,3,2,3,3,4,0,2,4,1,2,10,6,0,3,3,1,0,1,7,2,0,2,1,0,1,3,0,2,8,1,3,0,0,0,0,0
"Nsmf",1,5,5,9,29,30,13,0,13,6,19,32,19,34,29,49,30,27,13,20,40,23,18,18,21,22,24,23,22,37,20,16,63,24,22,8,28,22,12,27,28,30,44,22,16,3,24,30,21,41,9,38,18,17,14,23,31,26,18,17,33,3,6,23,39,25,18,26,21,33,26,17,18,8,8,27,8,26,15,28,2,2,6,2,14
"Entpd8",0,0,0,3,3,0,1,0,0,0,0,3,2,1,1,3,4,1,2,1,2,3,2,4,3,0,0,2,1,5,3,1,4,1,7,0,6,1,2,1,4,4,4,0,2,1,1,9,2,2,0,4,5,0,2,0,9,7,2,2,3,0,1,2,2,2,0,7,2,5,1,2,0,0,0,0,2,1,6,1,2,2,0,2,3
"Noxa1",0,0,0,2,0,3,3,0,0,0,0,3,0,0,2,1,1,3,0,1,0,0,0,2,0,0,0,0,0,2,0,0,4,0,3,2,1,2,0,0,0,2,3,0,0,0,1,0,3,0,0,5,2,0,0,0,0,8,2,0,2,0,0,2,1,0,4,0,1,4,2,0,0,1,0,3,0,1,3,0,2,0,0,0,0
"Tor4a",0,0,0,1,0,2,0,0,2,0,0,2,1,2,2,4,4,4,0,0,4,1,4,6,1,1,1,3,1,5,0,0,0,4,4,2,4,2,2,3,0,2,0,2,5,2,2,6,6,2,4,4,1,2,0,3,7,7,1,0,3,2,2,2,3,2,0,4,0,2,0,0,4,2,1,2,0,2,2,0,0,2,0,1,2
"Nelfb",0,1,3,2,5,2,1,0,0,4,3,8,4,1,3,7,6,6,3,3,10,7,3,4,7,6,1,8,5,11,8,5,10,4,6,1,10,8,2,7,7,8,6,5,1,4,5,11,5,6,6,10,0,2,5,9,10,10,11,2,5,2,6,9,5,8,7,12,4,4,2,3,7,2,6,6,0,5,3,9,0,4,1,1,2
"Rnf208",2,2,0,2,8,14,0,0,2,2,6,6,9,11,10,9,9,10,3,10,7,13,3,8,6,15,3,3,3,9,7,10,21,6,3,12,4,7,1,11,7,6,12,3,3,3,7,17,3,6,7,18,2,1,5,11,17,14,12,12,15,5,5,2,9,4,0,19,4,3,6,9,2,4,2,8,4,7,4,8,2,1,1,0,1
"Anapc2",0,3,3,1,3,7,4,1,2,1,4,4,4,5,11,11,9,7,2,10,9,6,2,7,3,9,4,4,4,12,5,5,11,3,3,0,3,3,2,7,4,8,5,4,3,0,2,11,2,12,3,5,4,2,0,6,7,5,6,11,10,0,3,5,11,1,6,7,3,6,0,9,7,1,6,12,3,12,2,7,2,1,2,2,5
"Man1b1",2,2,2,3,2,5,4,2,0,1,2,3,2,0,2,5,5,6,4,9,3,5,1,5,5,2,3,3,2,7,4,4,8,4,5,2,6,4,5,12,8,3,8,1,2,4,0,7,4,4,2,9,5,2,5,7,11,5,10,3,12,5,3,2,6,3,2,8,0,5,4,3,6,4,2,7,0,2,4,8,1,0,2,1,1
"Dpp7",0,0,0,2,3,5,1,0,0,0,0,4,1,5,3,3,3,6,1,6,8,4,1,5,4,4,5,6,5,14,1,3,6,5,17,3,4,3,2,6,3,3,6,2,7,0,3,14,4,7,4,12,1,6,6,2,8,6,10,4,1,0,4,6,6,2,5,4,5,4,1,3,2,0,2,4,3,1,1,6,2,0,1,1,2
"Uap1l1",2,1,0,0,7,0,1,0,0,2,3,6,2,4,3,4,2,5,2,4,7,1,2,5,5,5,2,2,3,8,3,1,7,4,3,2,2,7,1,4,7,3,4,0,0,1,2,5,4,3,2,7,3,5,3,1,10,2,3,5,2,2,3,0,6,5,2,1,1,2,1,4,4,2,1,3,2,2,3,3,2,1,0,1,2
"Sapcd2",1,0,1,0,0,2,0,0,0,0,0,2,0,3,1,1,1,2,0,0,5,0,0,1,2,0,0,2,3,2,1,0,1,0,4,0,2,2,2,0,0,0,2,0,2,0,0,4,2,3,2,3,1,0,4,3,8,2,2,3,1,0,0,1,2,2,1,1,2,4,1,1,0,1,1,3,0,2,2,0,0,0,0,0,0
"Entpd2",0,0,0,0,3,1,1,0,0,0,1,0,6,4,1,1,0,0,2,0,2,1,0,0,0,4,2,2,0,7,6,1,2,2,3,0,1,2,0,2,2,5,2,2,1,1,1,1,1,2,3,3,4,2,0,5,7,5,3,3,3,2,1,0,2,2,1,3,2,5,4,0,1,0,4,2,1,1,1,8,0,0,0,2,1
"Fut7",1,1,0,2,3,6,0,1,1,1,2,3,0,5,4,2,5,1,2,4,5,4,0,5,3,3,1,3,2,6,7,5,5,1,2,2,2,3,2,7,5,2,7,0,6,4,3,3,6,6,0,4,1,1,1,5,6,7,8,8,4,1,0,4,2,4,1,3,2,8,5,7,6,0,1,3,1,4,7,5,1,0,1,0,3
"Abca2",2,1,3,2,10,10,7,2,1,3,1,12,13,13,19,30,10,12,9,41,16,13,6,7,16,12,6,14,13,32,15,14,17,10,40,5,21,25,21,19,24,12,20,8,6,5,12,23,13,14,11,26,12,7,8,18,20,17,17,12,14,4,5,30,17,28,8,26,5,10,8,5,7,6,4,15,4,12,5,16,2,2,6,2,9
"Fbxw5",1,2,3,6,11,17,5,0,2,0,8,13,8,8,15,13,14,9,7,7,22,11,4,15,9,8,5,8,10,21,9,9,15,7,19,6,10,10,3,12,7,8,11,10,5,4,13,15,7,12,8,12,13,3,9,7,18,12,13,9,14,4,4,6,13,5,10,18,4,11,6,6,8,5,2,5,3,12,6,6,2,3,2,1,5
"Traf2",0,0,0,2,2,1,1,0,0,0,1,4,2,1,4,0,3,1,0,3,1,3,0,4,1,2,1,3,0,4,3,0,5,4,5,2,7,1,0,2,4,2,4,2,1,0,1,2,2,2,2,2,2,1,2,5,2,4,4,2,4,0,1,1,4,2,0,1,0,2,2,1,0,0,2,2,0,3,3,6,0,0,2,0,0
"Rabl6",0,2,0,3,19,16,6,0,2,3,3,19,12,15,16,26,5,9,5,8,18,9,14,14,9,9,5,12,7,23,11,13,18,12,12,2,14,10,8,14,17,6,12,8,14,5,3,28,6,6,10,14,12,9,8,14,22,14,14,18,16,5,11,8,8,13,7,20,5,11,16,10,7,5,9,10,0,17,12,10,2,0,3,2,10
"Kcnt1",0,2,0,2,5,7,2,0,0,0,3,4,3,4,1,6,3,5,3,3,9,10,3,8,9,9,4,3,6,17,5,14,12,5,4,1,4,1,3,6,3,1,4,2,4,0,3,3,5,8,2,12,8,3,2,8,12,8,5,2,8,2,1,3,6,4,5,10,0,3,2,3,8,1,3,9,0,6,7,12,0,2,1,0,2
"Ubac1",0,0,2,1,4,5,3,1,2,1,2,5,7,7,6,6,3,8,3,6,4,5,1,4,4,6,5,2,3,5,3,5,9,5,4,2,5,3,1,4,6,4,4,2,4,1,1,6,2,7,1,3,4,3,1,6,10,11,2,5,5,0,0,3,8,7,1,2,2,4,4,1,2,0,1,8,1,7,5,8,1,0,0,0,1
"Qsox2",0,1,1,3,4,7,1,0,2,0,2,6,7,9,5,3,5,2,2,7,13,5,1,11,5,6,1,7,1,2,2,4,13,1,7,2,0,1,0,7,1,3,5,4,0,2,3,10,4,5,2,3,2,1,3,6,6,13,4,4,8,1,3,8,7,7,1,9,0,5,1,1,3,0,4,3,1,2,6,5,1,2,0,1,3
"Gpsm1",1,1,0,1,2,10,4,0,2,0,4,5,5,9,3,9,9,6,2,6,5,8,2,8,6,2,8,4,1,6,4,5,9,0,9,0,2,3,1,11,5,5,4,4,4,1,6,9,6,7,3,5,5,1,2,6,9,8,9,8,5,0,2,3,8,5,1,7,5,8,0,1,2,3,1,9,0,5,5,3,2,0,0,1,6
"Snapc4",0,2,0,0,2,4,3,0,0,0,3,8,5,0,2,6,2,3,7,3,3,10,1,5,1,2,2,2,3,13,3,8,3,4,4,1,6,1,2,9,4,8,4,5,3,0,3,7,2,4,0,9,7,4,4,6,6,9,4,8,5,2,3,3,3,1,3,9,3,2,4,3,3,4,1,10,0,4,5,8,1,1,0,1,4
"Pmpca",1,2,1,5,11,7,3,0,1,2,4,6,6,9,9,4,8,7,4,5,8,4,7,12,4,9,3,5,2,12,8,9,13,8,8,5,11,9,2,12,5,3,6,3,4,3,1,9,3,5,3,10,1,5,3,5,6,9,10,10,8,4,4,4,3,8,4,8,0,7,4,4,7,3,7,9,4,4,4,7,0,0,3,0,3
"Inpp5e",1,1,1,4,6,6,0,0,0,0,1,4,2,4,6,6,1,6,3,1,5,2,2,10,6,8,2,5,1,13,3,4,6,1,4,4,8,1,4,4,3,7,9,1,3,2,6,9,4,5,1,6,3,4,3,3,10,13,4,6,4,1,6,4,7,1,2,6,4,2,3,5,6,3,2,5,1,6,2,4,0,0,4,0,4
"Sec16a",0,0,2,1,5,4,1,0,2,2,8,6,3,3,8,12,11,5,4,7,7,9,2,5,8,5,1,5,7,7,6,6,5,2,2,1,1,7,4,6,1,4,6,0,5,2,3,6,3,2,3,9,4,3,4,8,9,9,4,5,6,5,1,6,7,3,2,6,2,7,4,2,3,4,3,4,1,2,5,10,2,0,0,0,7
"Agpat2",0,1,0,1,6,1,1,0,0,1,1,2,1,1,3,5,2,3,1,2,2,1,0,3,1,0,5,0,0,7,0,4,3,1,2,0,1,1,1,4,2,5,2,4,1,0,2,4,0,3,3,1,5,2,0,2,9,2,4,2,3,1,5,0,3,0,3,4,0,2,1,1,4,3,1,3,1,2,2,5,0,0,0,0,3
"Surf6",0,0,0,0,3,4,0,0,0,0,1,3,1,1,8,6,8,2,5,5,5,2,0,5,0,4,3,6,0,4,2,1,9,5,7,2,2,2,1,9,6,5,5,7,1,0,6,11,5,7,4,1,3,3,1,3,10,4,7,7,6,2,3,4,5,2,1,5,3,7,6,0,4,1,2,8,0,5,1,5,1,1,2,0,0
"Med22",2,1,3,2,8,6,2,2,3,0,5,10,5,6,6,7,6,6,0,6,8,3,0,12,10,2,2,2,1,9,0,9,10,4,4,1,6,8,2,8,6,4,4,1,3,2,4,10,1,3,1,7,3,1,1,6,17,5,4,6,8,0,3,4,6,6,2,6,5,3,3,4,4,1,2,1,1,3,0,8,2,0,0,1,4
"Surf4",0,1,0,2,1,5,2,0,0,2,2,3,4,5,1,6,2,3,2,2,5,3,8,6,1,5,5,2,4,7,5,8,11,3,3,0,2,1,1,3,4,3,5,2,2,2,7,7,3,1,0,5,1,5,2,4,6,8,6,2,3,2,0,1,1,1,1,3,3,3,4,2,1,0,2,3,2,2,0,1,1,1,1,2,1
"Rexo4",0,0,0,2,1,1,1,0,2,1,2,5,2,4,6,3,4,1,2,1,6,1,1,1,2,3,1,6,2,11,2,3,3,3,6,1,5,1,1,3,4,3,3,2,1,0,0,9,2,1,4,2,2,1,3,3,6,3,2,3,6,1,1,1,6,4,2,4,0,2,3,2,1,2,3,5,0,1,1,6,4,3,0,0,3
"Adamts13",0,0,0,2,4,2,0,0,0,0,1,3,3,2,2,5,4,1,3,3,8,4,1,3,1,2,1,1,0,5,4,4,3,1,4,0,1,1,3,6,3,0,3,1,1,0,1,5,0,2,0,4,1,2,1,2,3,1,5,0,3,0,3,2,0,1,3,3,0,1,1,4,0,3,3,2,0,3,2,3,0,0,0,0,1
"Slc2a6",0,0,2,5,3,6,1,0,2,0,0,4,2,1,5,8,5,2,4,6,2,3,3,8,5,0,2,3,1,2,0,2,3,2,3,2,5,2,1,0,5,4,7,2,3,0,5,10,4,3,1,0,1,0,3,1,4,1,8,0,8,2,2,3,4,1,3,3,0,4,1,4,6,0,0,5,1,2,3,2,2,0,2,1,2
"Adamtsl2",0,0,0,3,0,2,0,0,2,0,1,6,6,2,3,8,5,5,0,3,4,2,0,6,1,4,3,2,1,1,5,1,10,5,6,1,4,2,1,5,2,1,6,1,4,0,2,10,2,4,4,8,1,2,3,3,7,7,4,4,5,2,0,4,6,1,3,3,1,4,1,3,6,0,2,4,0,1,3,6,0,0,1,0,4
"Dbh",0,0,0,2,1,4,3,0,0,0,3,4,3,4,3,6,3,2,1,4,3,4,1,2,1,2,0,3,1,6,4,5,3,3,1,1,7,3,1,4,4,4,1,3,1,1,1,6,2,3,2,5,2,0,1,4,4,4,3,3,4,0,0,2,5,6,0,1,1,1,3,1,1,0,2,2,0,8,0,3,2,0,1,0,3
"Sardh",0,0,1,1,6,3,2,0,0,0,2,4,0,4,10,14,9,2,1,1,6,4,2,9,7,3,2,3,4,2,3,1,8,1,4,2,4,0,3,1,4,4,9,8,4,2,5,12,9,3,3,6,4,4,2,5,6,6,5,2,3,0,4,4,2,7,3,8,0,3,2,5,3,0,5,5,0,5,5,3,3,0,2,0,1
"Vav2",0,0,2,3,9,6,1,0,1,1,2,2,2,7,2,5,5,5,1,2,7,5,4,5,2,7,6,2,0,7,7,7,14,3,2,0,5,3,3,5,3,10,4,3,6,0,4,12,0,9,3,11,9,3,5,5,9,7,6,2,8,2,0,0,10,5,2,6,1,6,2,1,3,1,1,3,1,8,5,12,0,0,4,1,4
"Brd3",0,1,0,2,8,7,0,0,0,0,2,5,2,6,8,11,9,3,0,8,7,7,3,3,4,11,2,9,0,10,10,10,10,6,6,1,6,4,2,3,7,5,7,5,6,1,3,14,3,5,1,5,5,5,2,2,9,8,9,3,9,2,4,1,6,3,3,14,2,9,4,3,3,6,3,2,2,8,2,5,3,1,1,0,9
"Wdr5",0,1,1,5,9,4,1,0,1,3,3,8,3,7,4,6,7,5,3,5,7,2,3,4,3,8,3,4,1,9,1,11,4,4,7,0,6,6,4,7,6,4,5,6,4,0,4,7,4,6,6,6,2,2,2,7,7,4,3,2,4,0,2,2,3,5,5,13,4,7,3,5,7,5,1,6,0,4,7,2,0,0,0,1,3
"Rxra",0,0,0,0,0,4,0,0,0,0,0,2,0,2,2,6,0,4,2,2,0,0,0,1,2,1,0,1,2,2,3,0,2,1,2,2,0,1,0,1,4,2,4,3,0,1,0,3,4,6,4,8,3,2,2,2,3,0,3,5,2,0,2,1,2,4,0,2,0,0,5,2,2,1,0,4,1,5,0,1,0,0,2,0,1
"Ppp1r26",2,1,2,2,5,2,0,0,3,0,4,9,2,6,4,12,5,5,0,5,8,4,3,5,1,7,0,9,1,15,6,2,10,4,5,4,5,2,4,1,7,4,8,4,3,3,4,12,5,8,4,8,3,3,1,3,10,11,7,5,9,3,1,3,6,4,2,10,1,9,10,3,8,5,5,4,3,5,4,8,1,0,2,0,10
"Gbgt1",0,0,0,0,2,1,2,0,0,0,2,7,2,2,2,6,4,2,3,1,1,0,2,0,2,0,1,2,0,2,3,2,5,1,2,0,1,0,2,1,2,0,3,2,2,0,2,2,2,2,0,5,1,0,2,4,3,2,4,3,3,0,1,1,3,6,3,4,0,3,5,1,3,2,0,2,2,0,3,5,0,1,0,0,0
"Ralgds",0,1,2,10,13,20,3,0,4,1,3,13,10,16,17,26,11,7,9,22,15,12,1,14,16,14,5,13,8,15,13,6,20,6,33,6,20,26,6,8,25,11,3,9,9,2,3,14,6,11,5,10,5,4,6,12,19,19,9,13,11,7,9,23,17,15,7,24,5,11,6,1,7,3,5,12,6,5,10,7,1,2,6,0,3
"Cel",0,0,0,3,1,5,1,0,0,0,0,7,5,2,6,3,2,5,3,1,3,5,3,6,4,6,1,2,1,5,5,2,9,2,3,0,1,5,2,5,2,3,6,5,2,1,2,4,2,5,2,4,2,2,2,3,4,8,5,3,4,0,4,7,4,4,3,6,2,5,3,2,3,1,1,7,1,4,7,6,0,0,0,0,2
"Gtf3c5",0,1,0,2,2,4,2,0,0,0,0,9,0,2,3,5,4,3,2,4,4,5,3,9,4,4,0,4,2,9,3,4,4,0,7,0,1,6,0,0,1,2,2,2,3,2,1,4,5,4,3,2,5,6,2,4,8,4,3,7,6,0,4,0,6,0,4,7,2,4,2,3,5,1,2,4,0,4,4,4,1,0,0,0,2
"Tsc1",0,2,2,4,10,8,1,0,1,1,2,3,4,4,1,12,11,6,3,6,11,2,4,6,4,9,4,2,5,11,5,8,20,7,6,1,2,2,1,6,8,6,6,5,3,1,9,7,7,6,1,12,4,8,5,7,10,5,16,8,8,5,5,4,11,4,5,5,6,5,4,1,5,3,6,4,2,2,5,7,0,1,3,1,5
"Gtf3c4",1,1,0,0,5,2,2,0,0,0,0,0,0,0,1,4,4,5,3,0,0,6,1,5,0,3,2,2,2,9,6,2,6,0,3,1,5,3,0,1,4,3,3,3,2,1,1,3,2,4,0,3,0,0,4,5,3,5,3,1,1,1,4,1,3,1,5,2,2,1,8,2,1,0,1,4,2,3,4,3,0,0,0,2,0
"Ddx31",0,0,0,0,1,2,3,0,0,0,0,2,0,0,5,6,3,5,0,2,0,4,0,4,0,0,1,0,0,3,3,9,3,3,4,1,3,2,1,2,6,0,2,0,3,1,2,4,1,3,0,3,0,3,1,2,7,2,5,0,3,1,0,2,0,3,1,4,4,3,1,3,2,3,3,2,0,3,2,1,2,0,0,0,2
"Barhl1",1,0,0,0,2,0,0,0,0,0,0,2,3,3,0,3,7,2,1,4,3,0,1,6,0,5,2,0,3,4,2,4,5,1,4,0,1,4,3,5,2,3,3,5,2,1,5,6,4,5,1,1,4,0,1,2,10,1,1,0,1,1,1,0,4,0,1,3,2,3,2,2,2,0,0,1,4,4,5,6,0,0,0,1,3
"Ttf1",0,0,2,0,1,6,0,0,0,2,0,1,0,7,5,3,0,5,1,2,5,1,0,1,2,5,1,4,1,1,6,2,5,4,5,0,2,0,0,2,2,2,2,2,5,0,1,5,5,2,2,5,2,2,2,5,6,2,9,4,4,6,0,1,2,1,5,8,1,6,4,2,2,2,0,2,0,1,5,3,0,0,1,0,8
"Setx",0,0,1,1,5,7,0,0,0,1,1,7,1,0,4,8,1,2,0,2,1,4,1,9,2,4,0,3,5,4,4,2,4,2,0,0,3,6,0,0,0,1,2,4,1,3,3,6,2,4,1,4,6,4,0,4,7,3,2,5,5,0,0,4,0,4,2,6,0,0,2,2,2,3,3,5,2,5,2,5,0,1,0,0,1
"Ntng2",3,2,1,9,12,2,4,1,1,1,1,8,6,6,14,10,2,3,10,7,17,9,2,6,2,9,7,1,6,15,5,7,9,13,7,1,5,9,3,5,15,5,15,4,13,1,8,14,6,7,3,13,5,2,3,4,19,10,10,12,11,2,8,3,16,7,4,8,3,1,10,4,16,2,1,8,1,3,4,8,3,0,0,2,6
"Rapgef1",0,0,0,5,6,12,4,0,1,0,7,14,7,6,12,11,10,8,6,10,14,6,3,2,7,8,3,6,12,9,8,9,9,3,3,5,10,4,5,8,11,10,6,3,4,1,9,13,5,8,8,12,5,4,5,8,12,17,7,11,11,1,0,4,4,4,6,7,5,6,2,5,9,2,11,8,1,5,5,8,1,2,1,1,7
"Trub2",0,1,0,0,1,1,0,0,0,2,2,4,2,1,3,9,0,2,4,7,3,7,4,6,7,6,0,5,5,6,2,7,3,4,6,2,4,4,2,4,3,2,6,4,3,0,1,12,8,6,4,3,2,2,3,2,9,3,5,5,0,3,1,3,6,1,0,6,0,3,2,4,0,1,0,7,2,4,1,1,0,0,3,0,3
"Coq4",0,3,1,5,6,3,4,0,0,1,2,11,8,3,7,11,11,6,1,4,11,5,4,8,4,7,6,4,2,12,3,8,14,3,7,2,2,1,4,5,4,4,5,3,5,1,3,9,2,6,4,11,4,1,4,5,9,5,3,5,10,2,1,7,10,6,1,7,0,6,1,6,5,4,3,7,4,2,5,9,2,0,1,2,5
"Slc27a4",0,2,4,7,10,14,5,0,3,3,3,13,9,7,7,21,19,10,7,8,10,14,3,11,8,10,10,7,12,15,6,15,21,9,10,8,7,4,4,4,6,11,12,8,4,3,7,8,13,8,3,21,7,9,4,9,20,16,11,11,14,3,6,10,18,13,4,20,4,3,6,1,6,4,6,8,3,15,6,10,2,2,2,1,7
"Urm1",0,0,2,4,2,7,1,0,2,2,2,3,4,4,6,3,5,5,2,5,3,3,1,4,5,5,1,4,6,5,2,6,6,5,4,3,4,4,0,1,4,5,2,3,1,2,4,5,1,5,3,10,5,1,2,5,6,8,11,4,1,1,2,2,1,2,0,12,2,4,4,2,2,2,4,3,1,5,4,6,0,0,2,2,2
"Cercam",0,0,0,0,2,0,0,0,0,0,2,1,0,4,3,2,1,2,1,2,1,1,0,0,0,1,0,3,0,4,0,2,3,1,1,1,3,4,0,1,3,2,3,1,5,0,0,2,2,1,1,6,1,2,0,1,5,1,3,3,3,1,1,0,2,1,2,8,3,4,1,3,0,1,0,3,0,1,3,3,2,0,1,0,3
"Odf2",1,3,1,6,9,9,4,0,3,3,6,8,8,9,12,12,8,7,3,6,9,9,3,11,9,10,3,1,5,13,12,5,9,9,12,1,4,3,0,11,13,3,8,2,1,0,6,17,6,12,5,12,3,7,2,10,14,13,7,12,10,2,3,10,12,7,8,12,4,4,4,1,11,5,4,7,2,9,4,4,4,2,1,3,2
"Pkn3",0,0,0,3,5,4,0,0,1,0,3,6,1,5,6,4,2,2,0,5,8,4,3,3,2,6,1,3,2,5,3,7,10,4,3,3,3,1,4,6,4,5,3,4,1,1,1,7,7,3,5,12,5,1,3,5,6,4,7,3,8,1,3,2,2,5,3,6,3,6,4,5,3,1,4,5,0,2,3,6,2,1,0,0,2
"Zer1",2,4,4,4,13,10,6,2,2,0,9,12,9,15,9,20,10,12,11,6,19,13,6,13,7,10,7,10,13,22,11,14,19,11,10,6,15,6,4,13,7,14,11,8,8,2,9,11,10,13,7,14,14,5,9,11,9,10,12,14,12,6,6,7,13,10,15,16,4,10,11,5,9,3,7,14,1,5,8,17,1,0,0,2,14
